b2,40 0.3796361104778351 0.3779034501993668 0.5835525588932539 0.4197535351834388 0.3139305450653319 0.3779034176600339 0.4847424486775527 0.3877806214317866 0.3131549450517663 0.3139305450653319 0.684310726931179 0.3796361104778351 0.4613695020025904 0.22587868316250506 0.46135536441445457 0.3779034176600339 0.4613695020025904 0.3779034176600339 0.4847424486775527 0.22587868316250506

progressive,40 0.3131549450517663 0.3777953346322277 0.3779034176600339 0.4197535351834388 0.3131549450517663 0.3779034176600339 0.4198509933566509 0.22587868316250506 0.3131549450517663 0.22587868316250506 0.22587868316250506 0.22587868316250506 0.3131549450517663 0.22587868316250506 0.3139305450653319 0.22587868316250506 0.3139305450653319 0.3777953346322277 0.22581417455021333 0.3877806214317866

progressive,15 0.5408570998371044 0.3777953346322277 0.6202339879203383 0.4197535351834388 0.3131549450517663 0.44772479049532365 0.6391991176499863 0.4613695020025904 0.3131549450517663 0.6591644242125103 0.22587868316250506 0.3796361104778351 0.3877806214317866 0.4198509933566509 0.3139305450653319 0.3779034176600339 0.4847424486775527 0.3779034176600339 0.22581417455021333 0.6591613963941462

rand,15 0.45467580971289023 0.3779034501993668 0.22587868316250506 0.4197535351834388 0.3139305450653319 0.3779034176600339 0.4198509933566509 0.4198509933566509 0.3131549450517663 0.3139305450653319 0.5845933317204779 0.3779034501993668 0.46135536441445457 0.44576155393974 0.22587868316250506 0.3877806214317866 0.4198509933566509 0.3779034176600339 0.5408491849332049 0.22587868316250506

UCB,15 0.5408570998371044 0.22587868316250506 0.44757185870699084 0.44772479049532365 0.22587868316250506 0.3139305450653319 0.48445582408129834 0.4847424486775527 0.3139305450653319 0.6391991176499863 0.44757185870699084 0.3777953346322277 0.3777953346322277 0.3877806214317866 0.45467580971289023 0.44757185870699084 0.5043395682906585 0.3139305450653319 0.22587868316250506 0.3139305450653319

SimAnnealing,40 0.5090215664735307 0.3777953346322277 0.22581417455021333 0.4198509933566509 0.3131549450517663 0.3779034176600339 0.4198509933566509 0.22587868316250506 0.3131549450517663 0.5043395682906585 0.3796361104778351 0.3139305450653319 0.3877806214317866 0.22587868316250506 0.3139305450653319 0.3877806214317866 0.4197535351834388 0.3131549450517663 0.3131549450517663 0.3131549450517663

